sample_id,subset,n_modalities,mask_text,mask_audio,mask_vision,p_negative,p_neutral,p_positive,prob_sum,intensity,fixed_cstar,prob_cstar
01,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,1,0.304297
01,text,1,1,0,0,0.058754,0.505644,0.435602,1.0,0.558778,1,0.505644
01,audio,1,0,1,0,0.224099,0.423414,0.352487,1.0,0.195189,1,0.423414
01,vision,1,0,0,1,0.33481,0.424256,0.240933,1.0,0.17391,1,0.424256
01,text+audio,2,1,1,0,0.065857,0.506979,0.427164,1.0,0.531415,1,0.506979
01,text+vision,2,1,0,1,0.072071,0.530543,0.397387,1.0,0.537819,1,0.530543
01,audio+vision,2,0,1,1,0.284207,0.451581,0.264212,1.0,0.209131,1,0.451581
01,text+audio+vision,3,1,1,1,0.068285,0.522523,0.409192,1.0,0.540495,1,0.522523
02,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
02,text,1,1,0,0,0.247549,0.125709,0.626742,1.0,-0.073052,2,0.626742
02,audio,1,0,1,0,0.754238,0.129758,0.116005,1.0,-0.33861,2,0.116005
02,vision,1,0,0,1,0.484299,0.413503,0.102197,1.0,-0.310139,2,0.102197
02,text+audio,2,1,1,0,0.319538,0.123109,0.557353,1.0,-0.135125,2,0.557353
02,text+vision,2,1,0,1,0.329637,0.175654,0.494709,1.0,-0.153855,2,0.494709
02,audio+vision,2,0,1,1,0.732767,0.186823,0.080409,1.0,-0.41988,2,0.080409
02,text+audio+vision,3,1,1,1,0.327048,0.143361,0.529591,1.0,-0.14717,2,0.529591
03,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,0,0.344394
03,text,1,1,0,0,0.480771,0.424537,0.094692,1.0,-0.471588,0,0.480771
03,audio,1,0,1,0,0.343911,0.278178,0.377911,1.0,0.170932,0,0.343911
03,vision,1,0,0,1,0.445441,0.390311,0.164248,1.0,-0.155191,0,0.445441
03,text+audio,2,1,1,0,0.474656,0.41264,0.112704,1.0,-0.39314,0,0.474656
03,text+vision,2,1,0,1,0.482579,0.425196,0.092225,1.0,-0.445559,0,0.482579
