sample_id,polarity,intensity,dominant_modality,modality_weights,evidence_start,evidence_end,evidence_modality
01,neutral,0.4366,text,"text:0.625,audio:0.143,vision:0.232",4.178,4.920,text
02,positive,0.2621,text,"text:0.613,audio:0.169,vision:0.218",1.982,2.161,text
03,neutral,-0.0936,text,"text:0.483,audio:0.227,vision:0.290",1.496,1.659,text
04,negative,-0.1055,text,"text:0.428,audio:0.334,vision:0.238",5.543,6.722,text
05,neutral,0.2451,text,"text:0.528,audio:0.175,vision:0.297",5.054,6.100,text
06,neutral,0.4825,text,"text:0.483,audio:0.205,vision:0.312",8.127,8.305,text
07,positive,1.2133,text,"text:0.614,audio:0.178,vision:0.209",10.021,10.185,text
08,positive,0.6966,text,"text:0.574,audio:0.190,vision:0.235",4.181,5.086,text
09,negative,-1.9519,text,"text:0.845,audio:0.083,vision:0.071",3.907,4.827,text
10,negative,-1.5477,text,"text:0.667,audio:0.178,vision:0.155",8.426,9.012,text
11,negative,-1.2061,text,"text:0.784,audio:0.125,vision:0.090",0.818,1.812,text
12,negative,-1.0200,text,"text:0.696,audio:0.189,vision:0.115",12.161,12.707,text
13,neutral,0.1526,text,"text:0.615,audio:0.385,vision:0.000",8.067,8.209,text
14,neutral,0.4487,text,"text:0.508,audio:0.194,vision:0.298",3.722,4.774,text
15,positive,0.9785,text,"text:0.499,audio:0.182,vision:0.319",5.680,5.791,text
16,negative,-2.2423,text,"text:0.823,audio:0.111,vision:0.065",2.605,3.114,text
17,positive,1.5740,text,"text:0.674,audio:0.089,vision:0.237",4.007,4.158,text
18,neutral,0.1270,text,"text:0.594,audio:0.122,vision:0.284",4.094,4.838,text
19,positive,1.1716,vision,"text:0.267,audio:0.203,vision:0.530",8.561,8.877,vision
20,positive,0.6964,vision,"text:0.374,audio:0.168,vision:0.458",4.472,4.687,vision
